,cityID,date,time,city,country,continent,latitude,longitude,temperature,humidity,windSpeed,cloudiness
0,3833367,2018-06-13,02:24,Ushuaia,AR,South America,-54.81,-68.31,35.6,74,8.05,40
1,2077963,2018-06-13,02:24,Albany,AU,Oceania,-35.02,117.88,58.71,66,10.87,68
2,2123814,2018-06-13,02:24,Leningradskiy,RU,Europe,69.38,178.42,38.01,80,9.42,0
3,6165406,2018-06-13,02:24,Thompson,CA,North America,55.74,-97.86,64.4,45,5.82,75
4,5367788,2018-06-13,02:24,Lompoc,US,North America,34.64,-120.46,66.27,82,11.41,1
5,1498283,2018-06-13,02:24,Mugur-Aksy,RU,Europe,50.38,90.44,57.18,65,2.59,64
6,2206939,2018-06-13,02:24,Bluff,NZ,Oceania,-46.6,168.33,49.44,100,9.42,44
7,2022572,2018-06-13,02:24,Khatanga,RU,Europe,71.98,102.47,67.98,76,1.92,0
8,3471451,2018-06-13,02:24,Arraial do Cabo,BR,South America,-22.97,-42.02,73.92,86,9.42,0
9,5864145,2018-06-13,02:24,Homer,US,North America,59.64,-151.54,54.46,66,12.75,1
10,1507390,2018-06-13,02:24,Dikson,RU,Europe,73.51,80.55,30.36,100,5.28,68
11,1283240,2018-06-13,02:24,Kathmandu,NP,Asia,27.71,85.32,73.4,88,3.36,40
12,2208248,2018-06-13,02:24,Kaitangata,NZ,Oceania,-46.28,169.85,49.44,99,6.4,100
13,5848280,2018-06-13,02:24,Kapaa,US,North America,22.08,-159.32,80.6,74,12.75,75
14,3531368,2018-06-13,02:24,Celestun,MX,North America,20.87,-90.4,81.75,100,15.9,12
15,4732862,2018-06-13,02:24,Nome,US,North America,30.04,-94.42,81.07,74,4.7,1
16,2508813,2018-06-13,02:24,Adrar,DZ,Africa,27.87,-0.29,82.4,16,6.93,0
17,2155415,2018-06-13,02:24,New Norfolk,AU,Oceania,-42.78,147.06,53.6,76,11.41,75
18,2163355,2018-06-13,02:24,Hobart,AU,Oceania,-42.88,147.33,53.6,76,11.41,75
19,1015776,2018-06-13,02:24,Bredasdorp,ZA,Africa,-34.53,20.04,59.0,38,6.93,0
20,3874787,2018-06-13,02:24,Punta Arenas,CL,South America,-53.16,-70.91,30.2,100,6.93,0
21,3443061,2018-06-13,02:24,Chuy,UY,South America,-33.69,-53.46,50.88,91,20.49,76
22,5855927,2018-06-13,02:24,Hilo,US,North America,19.71,-155.08,70.11,83,8.05,90
23,2012956,2018-06-13,02:24,Yerbogachen,RU,Europe,61.28,108.01,72.21,41,4.72,0
24,607610,2018-06-13,02:24,Zhanaozen,KZ,Asia,43.35,52.85,67.62,32,11.21,44
25,2094342,2018-06-13,02:24,Kavieng,PG,Oceania,-2.57,150.8,74.91,100,6.51,92
26,3893629,2018-06-13,02:24,Coquimbo,CL,South America,-29.95,-71.34,48.2,87,6.93,0
27,4030556,2018-06-13,02:24,Rikitea,PF,Oceania,-23.12,-134.97,74.82,100,7.74,8
28,3461659,2018-06-13,02:24,Horizontina,BR,South America,-27.63,-54.31,54.39,95,8.86,0
29,2145554,2018-06-13,02:24,Ulladulla,AU,Oceania,-35.36,150.48,62.6,51,16.11,0
30,3370903,2018-06-13,02:24,Jamestown,SH,Africa,-15.94,-5.72,69.24,100,4.83,0
31,2075265,2018-06-13,02:24,Busselton,AU,Oceania,-33.64,115.35,60.6,100,4.72,88
32,6690296,2018-06-13,02:24,Saint-Joseph,RE,Africa,-21.37,55.62,70.47,69,14.99,75
33,5883074,2018-06-13,02:24,Albanel,CA,North America,48.88,-72.44,62.6,59,6.93,75
34,933995,2018-06-13,02:24,Souillac,MU,Africa,-20.52,57.52,73.4,60,11.41,20
35,2311968,2018-06-13,02:24,Nioki,CD,Africa,-2.72,17.69,73.02,73,2.48,0
36,3366880,2018-06-13,02:24,Hermanus,ZA,Africa,-34.42,19.24,59.34,37,6.62,0
37,2441194,2018-06-13,02:24,Mayahi,NE,Africa,13.95,7.67,78.42,57,7.96,0
38,3981460,2018-06-13,02:24,Coahuayana,MX,North America,18.62,-100.35,70.05,82,1.7,76
39,5221703,2018-06-13,02:24,Cumberland,US,North America,41.97,-71.43,60.8,62,8.05,1
40,1817240,2018-06-13,02:24,Baiyin,CN,Asia,36.55,104.13,73.4,35,8.95,0
41,1282256,2018-06-13,02:24,Hithadhoo,MV,Asia,-0.6,73.08,82.83,100,5.06,24
42,1790885,2018-06-13,02:24,Changji,CN,Asia,32.07,116.17,87.15,71,4.38,0
43,3573061,2018-06-13,02:24,Saint George,BM,North America,32.38,-64.68,73.4,83,13.87,90
44,2122104,2018-06-13,02:24,Petropavlovsk-Kamchatskiy,RU,Europe,53.05,158.65,46.4,75,6.71,75
45,6185377,2018-06-13,02:24,Yellowknife,CA,North America,62.45,-114.38,51.8,87,8.05,90
46,1640344,2018-06-13,02:24,Kendari,ID,Asia,-3.99,122.52,82.65,85,3.71,36
47,3372472,2018-06-13,02:24,Vila Franca do Campo,PT,Europe,37.72,-25.43,66.2,93,2.24,40
48,236950,2018-06-13,02:24,Obo,CF,Africa,5.39,26.49,67.89,93,2.93,12
49,6170031,2018-06-13,02:24,Tuktoyaktuk,CA,North America,69.44,-133.03,51.8,43,10.29,40
50,241131,2018-06-13,02:24,Victoria,SC,Africa,-4.62,55.45,78.8,83,10.29,75
51,3512067,2018-06-13,02:24,Bani,DO,North America,18.28,-70.33,79.68,100,13.0,56
52,3455051,2018-06-13,02:24,Paranavai,BR,South America,-23.07,-52.47,66.2,100,1.12,75
53,3420768,2018-06-13,02:24,Qasigiannguit,GL,North America,68.82,-51.19,32.0,83,6.93,56
54,3369157,2018-06-13,02:24,Cape Town,ZA,Africa,-33.93,18.42,59.0,51,14.99,0
55,5729080,2018-06-13,02:24,Grants Pass,US,North America,42.44,-123.33,78.49,52,5.82,1
56,3457697,2018-06-13,02:24,Marilandia,BR,South America,-19.41,-40.54,65.64,97,4.72,0
57,543508,2018-06-13,02:24,Kovdor,RU,Europe,67.56,30.47,38.64,82,3.38,48
58,777019,2018-06-13,02:24,Vardo,NO,Europe,70.37,31.11,39.45,100,15.01,20
59,3831208,2018-06-13,02:24,Qaanaaq,GL,North America,77.48,-69.36,31.98,99,3.15,88
60,2159220,2018-06-13,02:24,Mackay,AU,Oceania,-21.15,149.2,75.2,73,6.93,40
61,5955902,2018-06-13,02:24,Fort Nelson,CA,North America,58.81,-122.69,60.8,44,11.41,75
62,2015306,2018-06-13,02:24,Tiksi,RU,Europe,71.64,128.87,59.07,71,4.27,20
63,4252975,2018-06-13,02:24,Barrow,US,North America,39.51,-90.4,81.07,83,7.96,1
64,3146487,2018-06-13,02:24,Raudeberg,NO,Europe,61.99,5.14,48.2,70,14.99,8
65,3985710,2018-06-13,02:24,Cabo San Lucas,MX,North America,22.89,-109.91,83.37,65,6.93,75
66,6255012,2018-06-13,02:24,Flinders,AU,Oceania,-34.58,150.85,62.6,51,16.11,0
67,2068110,2018-06-13,02:24,Kununurra,AU,Oceania,-15.77,128.74,87.8,40,4.7,0
68,986717,2018-06-13,02:24,Kruisfontein,ZA,Africa,-34.0,24.73,67.98,60,15.23,12
69,1791779,2018-06-13,02:24,Wanning,CN,Asia,18.8,110.4,85.71,89,20.6,92
70,1106677,2018-06-13,02:24,Bambous Virieux,MU,Africa,-20.34,57.76,73.4,60,11.41,20
71,1625929,2018-06-13,02:24,Sungaipenuh,ID,Asia,-2.08,101.38,74.82,81,2.04,20
72,468486,2018-06-13,02:24,Yazykovo,RU,Europe,54.3,47.38,62.22,45,17.02,80
73,2121025,2018-06-13,02:24,Srednekolymsk,RU,Europe,67.46,153.71,71.22,30,5.84,8
74,2180815,2018-06-13,02:24,Tuatapere,NZ,Oceania,-46.13,167.69,48.81,100,1.7,8
75,2267254,2018-06-13,02:24,Lagoa,PT,Europe,37.14,-8.45,62.6,72,6.93,0
76,2070998,2018-06-13,02:24,Geraldton,AU,Oceania,-28.77,114.6,59.0,87,6.93,12
77,6089245,2018-06-13,02:24,Norman Wells,CA,North America,65.28,-126.83,55.4,58,11.41,75
78,342856,2018-06-13,02:24,Bako,ET,Africa,5.83,36.63,57.81,95,2.04,68
79,2071860,2018-06-13,02:24,Esperance,AU,Oceania,-33.86,121.89,53.04,89,10.65,92
