,cityID,date,time,city,country,continent,latitude,longitude,temperature,humidity,windSpeed,cloudiness
0,3391889,2018-06-07,06:46,Pitimbu,BR,South America,-7.47,-34.81,75.2,94,5.82,75
1,2068110,2018-06-07,06:46,Kununurra,AU,Oceania,-15.77,128.74,89.6,13,9.17,0
2,2110227,2018-06-07,06:46,Butaritari,KI,Oceania,3.07,172.79,84.17,100,10.96,20
3,1006984,2018-06-07,06:46,East London,ZA,Africa,-33.02,27.91,71.48,99,14.99,0
4,3833367,2018-06-07,06:46,Ushuaia,AR,South America,-54.81,-68.31,18.56,100,2.57,0
5,2126199,2018-06-07,06:46,Cherskiy,RU,Europe,68.75,161.3,40.79,72,6.71,0
6,6943599,2018-06-07,06:46,Dalhousie,CA,North America,48.06,-66.37,35.6,100,3.36,5
7,2206939,2018-06-07,06:46,Bluff,NZ,Oceania,-46.6,168.33,50.6,96,17.34,92
8,3369157,2018-06-07,06:46,Cape Town,ZA,Africa,-33.93,18.42,56.45,100,13.42,20
9,1490085,2018-06-07,06:46,Tarko-Sale,RU,Europe,64.92,77.78,76.16,67,18.79,0
10,2126710,2018-06-07,06:46,Beringovskiy,RU,Europe,63.05,179.32,37.73,91,5.7,68
11,4030556,2018-06-07,06:46,Rikitea,PF,Oceania,-23.12,-134.97,73.01,100,19.69,88
12,4031637,2018-06-07,06:46,Lavrentiya,RU,Europe,65.58,-170.99,37.82,78,15.21,20
13,3917939,2018-06-07,06:46,Entre Rios,BO,South America,-21.53,-64.17,40.88,93,1.68,44
14,3573061,2018-06-07,06:46,Saint George,BM,North America,32.38,-64.68,77.0,88,11.41,75
15,2123814,2018-06-07,06:46,Leningradskiy,RU,Europe,69.38,178.42,31.25,100,15.88,68
16,964712,2018-06-07,06:46,Plettenberg Bay,ZA,Africa,-34.05,23.37,68.33,72,14.2,48
17,2640967,2018-06-07,06:46,Omagh,GB,Europe,54.6,-7.3,59.0,77,4.7,0
18,155334,2018-06-07,06:46,Magole,TZ,Africa,-6.37,37.37,68.0,82,4.14,75
19,4407665,2018-06-07,06:46,Kodiak,US,North America,39.95,-94.76,69.8,77,8.05,75
20,6165406,2018-06-07,06:46,Thompson,CA,North America,55.74,-97.86,46.4,93,4.7,40
21,5882953,2018-06-07,06:46,Aklavik,CA,North America,68.22,-135.01,35.6,84,6.93,90
22,3354077,2018-06-07,06:46,Opuwo,NA,Africa,-18.06,13.84,45.92,58,7.61,0
23,3419842,2018-06-07,06:46,Sisimiut,GL,North America,66.94,-53.67,34.58,93,7.72,92
24,5983720,2018-06-07,06:46,Iqaluit,CA,North America,63.75,-68.52,30.2,68,10.29,90
25,2075265,2018-06-07,06:46,Busselton,AU,Oceania,-33.64,115.35,58.34,100,5.59,80
26,2108502,2018-06-07,06:46,Honiara,SB,Oceania,-9.43,159.96,79.13,85,0.89,56
