,cityID,date,time,city,country,continent,latitude,longitude,temperature,humidity,windSpeed,cloudiness
0,3833367,2018-06-15,01:31,Ushuaia,AR,South America,-54.81,-68.31,42.8,48,8.05,75
1,3423146,2018-06-15,01:31,Ilulissat,GL,North America,69.22,-51.1,39.2,88,2.24,20
2,1015776,2018-06-15,01:31,Bredasdorp,ZA,Africa,-34.53,20.04,59.0,67,12.75,88
3,6096551,2018-06-15,01:31,Pangnirtung,CA,North America,66.15,-65.72,39.2,80,4.94,20
4,3373652,2018-06-15,01:31,Oistins,BB,North America,13.07,-59.53,78.8,78,17.22,40
5,4032243,2018-06-15,01:31,Vaini,TO,Oceania,-21.2,-175.2,77.0,73,12.75,75
6,6165406,2018-06-15,01:31,Thompson,CA,North America,55.74,-97.86,77.0,31,10.29,75
7,3386213,2018-06-15,01:31,Touros,BR,South America,-5.2,-35.46,79.51,79,13.11,92
8,2179702,2018-06-15,01:31,Wakefield,NZ,Oceania,-41.41,173.04,51.43,70,0.58,76
9,467084,2018-06-15,01:31,Yertsevo,RU,Europe,60.8,40.09,48.64,87,3.38,36
10,5554428,2018-06-15,01:31,Ketchikan,US,North America,55.34,-131.65,60.8,48,11.41,75
11,1803365,2018-06-15,01:31,Linqiong,CN,Asia,30.42,103.46,66.2,93,2.24,40
12,149050,2018-06-15,01:31,Uvinza,TZ,Africa,-5.1,30.39,55.84,81,2.04,0
13,2075265,2018-06-15,01:31,Busselton,AU,Oceania,-33.64,115.35,60.43,100,3.15,56
14,3831208,2018-06-15,01:31,Qaanaaq,GL,North America,77.48,-69.36,33.61,92,9.53,0
15,286621,2018-06-15,01:31,Salalah,OM,Asia,17.01,54.1,82.4,88,3.36,75
16,3520994,2018-06-15,01:31,Puerto Escondido,MX,North America,15.86,-97.07,82.66,100,5.39,100
17,6068416,2018-06-15,01:31,Mayo,CA,North America,63.59,-135.9,68.0,37,12.75,75
18,3451126,2018-06-15,01:31,Bonfim,BR,South America,-20.33,-44.24,66.37,83,7.52,36
19,3440714,2018-06-15,01:31,Salto,UY,South America,-31.39,-57.96,39.1,100,7.4,0
20,6167817,2018-06-15,01:31,Torbay,CA,North America,47.66,-52.73,35.6,93,13.87,90
21,1488903,2018-06-15,01:31,Turukhansk,RU,Europe,65.8,87.96,73.66,70,15.68,0
22,2411397,2018-06-15,01:31,Georgetown,SH,Africa,-7.93,-14.42,78.07,100,12.66,12
23,3985168,2018-06-15,01:31,San Patricio,MX,North America,19.22,-104.7,86.0,70,2.59,75
24,2455290,2018-06-15,01:31,Kidal,ML,Africa,18.44,1.41,86.53,34,13.67,48
25,6111867,2018-06-15,01:31,Port Hawkesbury,CA,North America,45.62,-61.36,42.8,93,5.82,90
26,2206939,2018-06-15,01:31,Bluff,NZ,Oceania,-46.6,168.33,48.73,100,5.95,68
27,3366880,2018-06-15,01:31,Hermanus,ZA,Africa,-34.42,19.24,51.7,100,9.64,92
28,5847411,2018-06-15,01:31,Kahului,US,North America,20.89,-156.47,82.83,55,17.22,40
29,1822207,2018-06-15,01:31,Sisophon,KH,Asia,13.59,102.97,88.69,66,16.02,56
30,3573061,2018-06-15,01:31,Saint George,BM,North America,32.38,-64.68,77.0,88,10.29,40
31,3403534,2018-06-15,01:31,Campos Sales,BR,South America,-7.07,-40.37,71.23,63,10.98,0
32,3652764,2018-06-15,01:31,Puerto Ayora,EC,South America,-0.74,-90.35,77.0,69,12.75,90
33,964432,2018-06-15,01:31,Port Alfred,ZA,Africa,-33.59,26.89,70.15,57,16.58,0
34,2123814,2018-06-15,01:31,Leningradskiy,RU,Europe,69.38,178.42,32.26,98,17.13,8
35,3946820,2018-06-15,01:31,Barranca,PE,South America,-10.75,-77.76,60.07,100,14.12,88
36,1507390,2018-06-15,01:31,Dikson,RU,Europe,73.51,80.55,37.03,81,10.09,48
37,3389822,2018-06-15,01:31,Salinopolis,BR,South America,-0.61,-47.36,83.11,92,12.44,80
38,2121025,2018-06-15,01:31,Srednekolymsk,RU,Europe,67.46,153.71,68.44,27,5.61,56
39,2527089,2018-06-15,01:31,Tiznit,MA,Africa,29.7,-9.73,62.23,98,3.49,64
40,3424607,2018-06-15,01:31,Tasiilaq,GL,North America,65.61,-37.64,33.8,74,5.82,8
41,2618795,2018-06-15,01:31,Klaksvik,FO,Europe,62.23,-6.59,46.4,93,28.86,80
42,3874787,2018-06-15,01:31,Punta Arenas,CL,South America,-53.16,-70.91,32.0,99,4.7,75
43,1715015,2018-06-15,01:31,Dicabisagan,PH,Asia,17.08,122.42,88.06,78,17.02,8
44,2077895,2018-06-15,01:31,Alice Springs,AU,Oceania,-23.7,133.88,57.2,35,5.82,0
45,3838859,2018-06-15,01:31,Rio Gallegos,AR,South America,-51.62,-69.22,37.4,55,11.41,0
46,2688250,2018-06-15,01:31,Norrtalje,SE,Europe,59.76,18.7,63.21,67,11.41,0
47,2514651,2018-06-15,01:31,Los Llanos de Aridane,ES,Europe,28.66,-17.92,68.0,56,23.04,48
48,2017155,2018-06-15,01:31,Saskylakh,RU,Europe,71.97,114.09,63.67,70,11.43,80
49,3883457,2018-06-15,01:31,Lebu,CL,South America,-37.62,-73.65,49.81,100,8.63,92
50,4030556,2018-06-15,01:31,Rikitea,PF,Oceania,-23.12,-134.97,72.85,100,24.07,0
51,527321,2018-06-15,01:31,Mezen,RU,Europe,65.85,44.24,40.09,74,6.4,0
52,1006984,2018-06-15,01:31,East London,ZA,Africa,-33.02,27.91,71.14,94,13.56,32
53,3382226,2018-06-15,01:31,Camopi,GF,South America,3.17,-52.33,74.11,95,2.04,36
54,3671437,2018-06-15,01:31,Puerto Leguizamo,CO,South America,-0.19,-74.78,70.87,100,2.93,36
55,878141,2018-06-15,01:31,Madimba,TZ,Africa,-10.4,40.33,74.2,100,9.08,64
56,1490256,2018-06-15,01:31,Talnakh,RU,Europe,69.49,88.39,58.9,81,9.19,0
