,cityID,date,time,city,country,continent,latitude,longitude,temperature,humidity,windSpeed,cloudiness
0,6156244,2018-06-08,03:52,Stephenville,CA,North America,48.55,-58.59,41.0,80,6.93,20
1,4030556,2018-06-08,03:52,Rikitea,PF,Oceania,-23.12,-134.97,72.46,100,20.18,24
2,2152659,2018-06-08,03:52,Port Macquarie,AU,Oceania,-31.43,152.91,68.0,64,4.7,64
3,5848280,2018-06-08,03:52,Kapaa,US,North America,22.08,-159.32,78.8,78,16.11,75
4,556268,2018-06-08,03:52,Ostrovnoy,RU,Europe,68.05,39.51,37.54,100,10.0,68
5,780687,2018-06-08,03:52,Berlevag,NO,Europe,70.86,29.09,37.4,100,17.22,75
6,453850,2018-06-08,03:52,Zilupe,LV,Europe,56.39,28.12,55.72,64,16.04,80
7,4944903,2018-06-08,03:52,Nantucket,US,North America,41.28,-70.1,52.2,100,6.93,1
8,2071860,2018-06-08,03:52,Esperance,AU,Oceania,-33.86,121.89,59.95,55,5.53,0
9,1512019,2018-06-08,03:52,Aksarka,RU,Europe,66.56,67.8,34.93,100,14.14,92
10,5924351,2018-06-08,03:52,Clyde River,CA,North America,70.47,-68.59,32.0,93,27.51,90
11,3833367,2018-06-08,03:52,Ushuaia,AR,South America,-54.81,-68.31,36.82,100,19.28,88
12,4036284,2018-06-08,03:52,Alofi,NU,Oceania,-19.06,-169.92,84.2,79,8.05,75
13,964432,2018-06-08,03:52,Port Alfred,ZA,Africa,-33.59,26.89,63.55,100,9.55,92
14,2075265,2018-06-08,03:52,Busselton,AU,Oceania,-33.64,115.35,59.32,100,8.21,100
15,2527089,2018-06-08,03:52,Tiznit,MA,Africa,29.7,-9.73,60.4,97,2.73,64
16,3985710,2018-06-08,03:52,Cabo San Lucas,MX,North America,22.89,-109.91,87.39,48,12.75,75
17,2163355,2018-06-08,03:52,Hobart,AU,Oceania,-42.88,147.33,62.6,48,12.75,75
18,2206939,2018-06-08,03:52,Bluff,NZ,Oceania,-46.6,168.33,49.69,99,13.13,12
19,3374333,2018-06-08,03:52,Praia,CV,Africa,14.92,-23.51,75.2,73,11.41,75
20,2136825,2018-06-08,03:52,Isangel,VU,Oceania,-19.55,169.27,70.39,100,23.09,92
21,3939168,2018-06-08,03:52,Huarmey,PE,South America,-10.07,-78.15,53.74,89,2.62,0
22,3372707,2018-06-08,03:52,Ribeira Grande,PT,Europe,38.52,-28.7,64.09,100,10.0,48
23,3652764,2018-06-08,03:52,Puerto Ayora,EC,South America,-0.74,-90.35,72.73,100,10.45,36
24,3874787,2018-06-08,03:52,Punta Arenas,CL,South America,-53.16,-70.91,37.4,100,12.75,90
25,103630,2018-06-08,03:52,Najran,SA,Asia,17.54,44.22,77.0,41,2.39,0
26,1015776,2018-06-08,03:52,Bredasdorp,ZA,Africa,-34.53,20.04,57.2,87,1.12,80
27,5880568,2018-06-08,03:52,Bethel,US,North America,60.79,-161.76,50.0,76,10.29,90
