,cityID,date,time,city,country,continent,latitude,longitude,temperature,humidity,windSpeed,cloudiness
0,5318313,2018-06-09,17:42,Tucson,US,North America,32.22,-110.93,95.63,15,9.17,1
1,3577911,2018-06-09,17:42,Dovers,VC,North America,12.88,-61.18,80.4,100,18.59,0
2,3874787,2018-06-09,17:42,Punta Arenas,CL,South America,-53.16,-70.91,41.11,86,4.7,0
3,6096551,2018-06-09,17:42,Pangnirtung,CA,North America,66.15,-65.72,37.4,100,12.75,40
4,2168305,2018-06-09,17:42,Dubbo,AU,Oceania,-32.25,148.6,51.8,100,8.05,90
5,3652764,2018-06-09,17:42,Puerto Ayora,EC,South America,-0.74,-90.35,80.6,61,12.75,75
6,2077963,2018-06-09,17:42,Albany,AU,Oceania,-35.02,117.88,55.02,95,12.33,8
7,3421982,2018-06-09,17:42,Maniitsoq,GL,North America,65.42,-52.9,38.1,93,2.82,36
8,1580240,2018-06-09,17:42,Hue,VN,Asia,16.47,107.58,84.2,74,2.24,40
9,6111862,2018-06-09,17:42,Port Hardy,CA,North America,50.7,-127.42,53.6,81,10.29,75
10,2729907,2018-06-09,17:42,Longyearbyen,SJ,Europe,78.22,15.64,35.6,74,4.7,75
11,1282256,2018-06-09,17:42,Hithadhoo,MV,Asia,-0.6,73.08,81.39,100,10.54,100
12,3896218,2018-06-09,17:42,Castro,CL,South America,-42.48,-73.76,46.2,73,10.65,80
13,3382867,2018-06-09,17:42,Totness,SR,South America,5.88,-56.32,81.93,94,14.23,24
14,935215,2018-06-09,17:42,Saint-Philippe,RE,Africa,-21.36,55.77,70.65,78,5.82,0
15,1855540,2018-06-09,17:42,Naze,JP,Asia,28.37,129.48,76.53,100,15.01,92
16,3872326,2018-06-09,17:42,San Carlos,CL,South America,-36.42,-71.96,55.4,93,17.22,90
17,1626493,2018-06-09,17:42,Srandakan,ID,Asia,-7.94,110.25,70.14,97,1.92,36
18,2126199,2018-06-09,17:42,Cherskiy,RU,Europe,68.75,161.3,46.65,73,4.38,0
19,1106677,2018-06-09,17:42,Bambous Virieux,MU,Africa,-20.34,57.76,69.8,88,6.93,20
20,5848280,2018-06-09,17:42,Kapaa,US,North America,22.08,-159.32,73.11,94,12.75,20
21,3372783,2018-06-09,17:42,Ponta Delgada,PT,Europe,37.73,-25.67,69.8,73,10.29,40
22,2121385,2018-06-09,17:42,Severo-Kurilsk,RU,Europe,50.68,156.12,32.88,100,4.61,24
23,546105,2018-06-09,17:42,Nikolskoye,RU,Europe,59.7,30.79,55.4,32,13.42,0
24,3494768,2018-06-09,17:42,Pimentel,DO,North America,19.19,-70.11,86.0,74,11.41,40
